wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.142	0.264	0.969	1.674	0.687	9.512	0.378	0.364	0.085	0.27	0.309
0.143	0.264	0.969	1.674	0.687	9.577	0.379	0.364	0.085	0.27	0.309
0.144	0.265	0.97	1.674	0.687	9.642	0.379	0.364	0.085	0.27	0.309
0.145	0.265	0.97	1.675	0.688	9.707	0.38	0.364	0.085	0.27	0.309
0.146	0.265	0.97	1.675	0.688	9.771	0.381	0.364	0.085	0.27	0.309
0.147	0.265	0.97	1.675	0.688	9.836	0.381	0.364	0.085	0.27	0.309
0.148	0.265	0.97	1.675	0.688	9.901	0.382	0.364	0.085	0.27	0.309
0.149	0.265	0.97	1.675	0.688	9.966	0.383	0.364	0.085	0.27	0.309
0.15	0.266	0.97	1.676	0.688	10.031	0.383	0.364	0.085	0.27	0.309
0.151	0.266	0.97	1.676	0.689	10.096	0.384	0.364	0.085	0.27	0.309
0.152	0.266	0.971	1.676	0.689	10.161	0.384	0.364	0.085	0.27	0.309
0.153	0.266	0.971	1.676	0.689	10.226	0.385	0.364	0.085	0.27	0.309
0.154	0.266	0.971	1.676	0.689	10.291	0.386	0.364	0.085	0.27	0.309
0.155	0.267	0.971	1.677	0.689	10.356	0.386	0.364	0.085	0.27	0.309
0.156	0.267	0.971	1.677	0.689	10.421	0.387	0.364	0.085	0.27	0.309
0.157	0.267	0.971	1.677	0.69	10.486	0.388	0.364	0.085	0.27	0.309
0.158	0.267	0.971	1.677	0.69	10.551	0.388	0.364	0.085	0.27	0.309
0.159	0.267	0.971	1.677	0.69	10.615	0.389	0.364	0.085	0.27	0.309
0.16	0.268	0.971	1.678	0.69	10.68	0.39	0.364	0.085	0.271	0.309
0.161	0.268	0.972	1.678	0.69	10.745	0.39	0.364	0.085	0.271	0.309
0.162	0.268	0.972	1.678	0.691	10.81	0.391	0.364	0.085	0.271	0.309
0.163	0.268	0.972	1.678	0.691	10.875	0.391	0.364	0.085	0.271	0.31
0.164	0.268	0.972	1.679	0.691	10.94	0.392	0.364	0.085	0.271	0.31
0.165	0.269	0.972	1.679	0.691	11.005	0.393	0.364	0.085	0.271	0.31
